Province,Cases,Deaths,Recoveries,Active Cases,Tests,Date
#adm1+name,#affected+infected+cases,#affected+infected+deaths,#affected+infected+recoveries,#affected+infected+active,,#date
Badakhshan,688,25,639,,,2021-05-19
Badghis,854,16,810,,,2021-05-19
Baghlan,"1,171",37,"1,062",,,2021-05-19
Balkh,"3,614",181,"3,218",,,2021-05-19
Bamyan,"1,033",18,925,,,2021-05-19
Dykundi,948,20,920,,,2021-05-19
Farah,644,46,545,,,2021-05-19
Faryab,468,30,375,,,2021-05-19
Ghazni,"1,016",79,845,,,2021-05-19
Ghor,711,17,572,,,2021-05-19
Helmand,635,39,459,,,2021-05-19
Hirat,"9,520",445,"8,931",,,2021-05-19
Jawzjan,248,14,210,,,2021-05-19
Kabul,"18,404",895,"16,211",,,2021-05-19
Kandahar,"3,607",76,"2,985",,,2021-05-19
Kapisa,719,24,592,,,2021-05-19
Khost,739,86,602,,,2021-05-19
Kunar,833,53,724,,,2021-05-19
Kunduz,"1,060",57,915,,,2021-05-19
Laghman,"1,163",24,"1,084",,,2021-05-19
Logar,834,39,674,,,2021-05-19
Nangarhar,"4,528",204,"3,323",,,2021-05-19
Nimroz,831,27,693,,,2021-05-19
Nooristan,195,2,149,,,2021-05-19
Paktika,386,17,306,,,2021-05-19
Paktya,"1,619",60,"1,505",,,2021-05-19
Panjsher,469,20,341,,,2021-05-19
Parwan,963,31,797,,,2021-05-19
Samangan,361,18,326,,,2021-05-19
Sar-e-Pul,236,6,230,,,2021-05-19
Takhar,"2,169",74,"1,999",,,2021-05-19
Urozgan,242,7,152,,,2021-05-19
Wardak,802,31,559,,,2021-05-19
Zabul,403,22,321,,,2021-05-19
Badakhshan,686,25,639,,,2021-05-18
Badghis,854,16,810,,,2021-05-18
Baghlan,"1,171",37,"1,062",,,2021-05-18
Balkh,"3,602",181,"3,197",,,2021-05-18
Bamyan,"1,030",18,925,,,2021-05-18
Dykundi,943,20,917,,,2021-05-18
Farah,639,46,545,,,2021-05-18
Faryab,467,30,375,,,2021-05-18
Ghazni,"1,010",79,827,,,2021-05-18
Ghor,711,17,572,,,2021-05-18
Helmand,617,37,444,,,2021-05-18
Hirat,"9,515",444,"8,923",,,2021-05-18
Jawzjan,248,14,210,,,2021-05-18
Kabul,"18,309",890,"16,211",,,2021-05-18
Kandahar,"3,565",75,"2,975",,,2021-05-18
Kapisa,719,24,592,,,2021-05-18
Khost,738,86,602,,,2021-05-18
Kunar,830,53,724,,,2021-05-18
Kunduz,"1,053",57,915,,,2021-05-18
Laghman,"1,154",23,"1,084",,,2021-05-18
Logar,834,39,674,,,2021-05-18
Nangarhar,"4,510",204,"3,322",,,2021-05-18
Nimroz,824,27,693,,,2021-05-18
Nooristan,195,2,148,,,2021-05-18
Paktika,386,17,302,,,2021-05-18
Paktya,"1,619",60,"1,489",,,2021-05-18
Panjsher,464,19,341,,,2021-05-18
Parwan,962,31,797,,,2021-05-18
Samangan,361,18,326,,,2021-05-18
Sar-e-Pul,236,6,230,,,2021-05-18
Takhar,"2,169",74,"1,999",,,2021-05-18
Urozgan,232,7,152,,,2021-05-18
Wardak,795,31,554,,,2021-05-18
Zabul,398,22,321,,,2021-05-18
Badakhshan,686,25,639,,,2021-05-17
Badghis,854,16,810,,,2021-05-17
Baghlan,"1,171",37,"1,062",,,2021-05-17
Balkh,"3,602",181,"3,197",,,2021-05-17
Bamyan,"1,030",18,925,,,2021-05-17
Dykundi,943,20,917,,,2021-05-17
Farah,639,46,545,,,2021-05-17
Faryab,467,30,375,,,2021-05-17
Ghazni,"1,010",79,827,,,2021-05-17
Ghor,711,17,572,,,2021-05-17
Helmand,617,37,444,,,2021-05-17
Hirat,"9,515",444,"8,923",,,2021-05-17
Jawzjan,248,14,210,,,2021-05-17
Kabul,"18,309",890,"16,211",,,2021-05-17
Kandahar,"3,565",75,"2,975",,,2021-05-17
Kapisa,719,24,592,,,2021-05-17
Khost,738,86,602,,,2021-05-17
Kunar,830,53,724,,,2021-05-17
Kunduz,"1,053",57,914,,,2021-05-17
Laghman,"1,154",23,"1,084",,,2021-05-17
Logar,834,39,674,,,2021-05-17
Nangarhar,"4,510",204,"3,322",,,2021-05-17
Nimroz,824,27,693,,,2021-05-17
Nooristan,195,2,148,,,2021-05-17
Paktika,386,17,302,,,2021-05-17
Paktya,"1,619",60,"1,489",,,2021-05-17
Panjsher,464,19,341,,,2021-05-17
Parwan,962,31,797,,,2021-05-17
Samangan,361,18,326,,,2021-05-17
Sar-e-Pul,236,6,230,,,2021-05-17
Takhar,"2,169",74,"1,999",,,2021-05-17
Urozgan,232,7,152,,,2021-05-17
Wardak,795,31,554,,,2021-05-17
Zabul,398,22,321,,,2021-05-17
Badakhshan,680,25,632,,,2021-05-14
Badghis,854,16,810,,,2021-05-14
Baghlan,"1,162",37,"1,058",,,2021-05-14
Balkh,"3,569",181,"3,192",,,2021-05-14
Bamyan,"1,022",18,911,,,2021-05-14
Dykundi,943,20,917,,,2021-05-14
Farah,639,46,545,,,2021-05-14
Faryab,466,30,375,,,2021-05-14
Ghazni,"1,003",79,812,,,2021-05-14
Ghor,711,17,572,,,2021-05-14
Helmand,594,37,431,,,2021-05-14
Hirat,"9,482",443,"8,903",,,2021-05-14
Jawzjan,248,14,210,,,2021-05-14
Kabul,"18,212",878,"16,211",,,2021-05-14
Kandahar,"3,500",73,"2,937",,,2021-05-14
Kapisa,716,24,592,,,2021-05-14
Khost,733,85,602,,,2021-05-14
Kunar,828,53,719,,,2021-05-14
Kunduz,"1,053",57,914,,,2021-05-14
Laghman,"1,142",23,998,,,2021-05-14
Logar,828,39,674,,,2021-05-14
Nangarhar,"4,498",202,"3,195",,,2021-05-14
Nimroz,824,27,693,,,2021-05-14
Nooristan,192,2,146,,,2021-05-14
Paktika,386,17,302,,,2021-05-14
Paktya,"1,619",60,"1,474",,,2021-05-14
Panjsher,464,19,340,,,2021-05-14
Parwan,962,31,797,,,2021-05-14
Samangan,359,18,326,,,2021-05-14
Sar-e-Pul,236,6,230,,,2021-05-14
Takhar,"2,169",74,"1,999",,,2021-05-14
Urozgan,228,7,152,,,2021-05-14
Wardak,777,31,536,,,2021-05-14
Zabul,398,22,321,,,2021-05-14
Badakhshan,679,25,632,,,2021-05-13
Badghis,854,16,810,,,2021-05-13
Baghlan,"1,162",37,"1,058",,,2021-05-13
Balkh,"3,550",181,"3,182",,,2021-05-13
Bamyan,"1,022",18,911,,,2021-05-13
Dykundi,943,20,917,,,2021-05-13
Farah,639,46,545,,,2021-05-13
Faryab,466,30,375,,,2021-05-13
Ghazni,"1,003",79,812,,,2021-05-13
Ghor,711,17,572,,,2021-05-13
Helmand,588,37,431,,,2021-05-13
Hirat,"9,482",443,"8,903",,,2021-05-13
Jawzjan,248,14,210,,,2021-05-13
Kabul,"18,152",875,"16,211",,,2021-05-13
Kandahar,"3,417",71,"2,924",,,2021-05-13
Kapisa,712,24,592,,,2021-05-13
Khost,733,85,602,,,2021-05-13
Kunar,825,53,719,,,2021-05-13
Kunduz,"1,047",57,914,,,2021-05-13
Laghman,"1,141",22,998,,,2021-05-13
Logar,813,39,672,,,2021-05-13
Nangarhar,"4,450",200,"3,194",,,2021-05-13
Nimroz,824,27,663,,,2021-05-13
Nooristan,192,2,146,,,2021-05-13
Paktika,386,17,302,,,2021-05-13
Paktya,"1,619",60,"1,474",,,2021-05-13
Panjsher,461,19,338,,,2021-05-13
Parwan,954,31,794,,,2021-05-13
Samangan,359,18,326,,,2021-05-13
Sar-e-Pul,236,6,230,,,2021-05-13
Takhar,"2,169",74,"1,999",,,2021-05-13
Urozgan,228,7,152,,,2021-05-13
Wardak,758,31,536,,,2021-05-13
Zabul,398,22,321,,,2021-05-13
Badakhshan,679,25,632,,,2021-05-12
Badghis,854,16,810,,,2021-05-12
Baghlan,"1,162",37,"1,058",,,2021-05-12
Balkh,"3,550",181,"3,182",,,2021-05-12
Bamyan,"1,022",18,911,,,2021-05-12
Dykundi,943,20,917,,,2021-05-12
Farah,639,46,545,,,2021-05-12
Faryab,466,30,375,,,2021-05-12
Ghazni,"1,003",79,812,,,2021-05-12
Ghor,711,17,572,,,2021-05-12
Helmand,588,37,431,,,2021-05-12
Hirat,"9,482",443,"8,903",,,2021-05-12
Jawzjan,248,14,210,,,2021-05-12
Kabul,"18,109",871,"16,211",,,2021-05-12
Kandahar,"3,417",71,"2,924",,,2021-05-12
Kapisa,712,24,592,,,2021-05-12
Khost,733,85,602,,,2021-05-12
Kunar,825,53,719,,,2021-05-12
Kunduz,"1,047",57,914,,,2021-05-12
Laghman,"1,141",22,998,,,2021-05-12
Logar,813,39,672,,,2021-05-12
Nangarhar,"4,450",200,"3,194",,,2021-05-12
Nimroz,824,27,663,,,2021-05-12
Nooristan,192,2,146,,,2021-05-12
Paktika,386,17,302,,,2021-05-12
Paktya,"1,619",60,"1,474",,,2021-05-12
Panjsher,461,19,338,,,2021-05-12
Parwan,954,31,794,,,2021-05-12
Samangan,359,18,326,,,2021-05-12
Sar-e-Pul,236,6,230,,,2021-05-12
Takhar,"2,169",74,"1,999",,,2021-05-12
Urozgan,228,7,152,,,2021-05-12
Wardak,758,31,536,,,2021-05-12
Zabul,398,22,321,,,2021-05-12
Badakhshan,678,25,632,,,2021-05-11
Badghis,854,16,810,,,2021-05-11
Baghlan,"1,162",37,"1,058",,,2021-05-11
Balkh,"3,539",181,"3,182",,,2021-05-11
Bamyan,"1,016",18,911,,,2021-05-11
Dykundi,941,20,917,,,2021-05-11
Farah,636,46,545,,,2021-05-11
Faryab,465,30,375,,,2021-05-11
Ghazni,998,79,812,,,2021-05-11
Ghor,710,17,572,,,2021-05-11
Helmand,560,37,431,,,2021-05-11
Hirat,"9,465",443,"8,894",,,2021-05-11
Jawzjan,248,14,210,,,2021-05-11
Kabul,"18,109",871,"16,211",,,2021-05-11
Kandahar,"3,369",70,"2,911",,,2021-05-11
Kapisa,712,24,592,,,2021-05-11
Khost,731,85,602,,,2021-05-11
Kunar,823,53,719,,,2021-05-11
Kunduz,"1,045",57,912,,,2021-05-11
Laghman,"1,118",22,973,,,2021-05-11
Logar,803,39,672,,,2021-05-11
Nangarhar,"4,396",199,"3,192",,,2021-05-11
Nimroz,813,27,663,,,2021-05-11
Nooristan,188,2,144,,,2021-05-11
Paktika,373,16,302,,,2021-05-11
Paktya,"1,613",56,"1,471",,,2021-05-11
Panjsher,457,19,336,,,2021-05-11
Parwan,945,31,794,,,2021-05-11
Samangan,359,18,326,,,2021-05-11
Sar-e-Pul,236,6,230,,,2021-05-11
Takhar,"2,166",73,"1,999",,,2021-05-11
Urozgan,212,7,152,,,2021-05-11
Wardak,743,31,530,,,2021-05-11
Zabul,392,22,319,,,2021-05-11
Badakhshan,678,25,631,,,2021-05-10
Badghis,853,16,810,,,2021-05-10
Baghlan,"1,152",37,"1,052",,,2021-05-10
Balkh,"3,523",181,"3,152",,,2021-05-10
Bamyan,"1,016",18,910,,,2021-05-10
Dykundi,941,20,917,,,2021-05-10
Farah,628,46,545,,,2021-05-10
Faryab,465,30,374,,,2021-05-10
Ghazni,990,79,812,,,2021-05-10
Ghor,710,17,572,,,2021-05-10
Helmand,541,37,386,,,2021-05-10
Hirat,"9,420",443,"8,885",,,2021-05-10
Jawzjan,248,14,210,,,2021-05-10
Kabul,"18,022",862,"16,211",,,2021-05-10
Kandahar,"3,262",69,"2,858",,,2021-05-10
Kapisa,700,24,592,,,2021-05-10
Khost,730,85,592,,,2021-05-10
Kunar,812,52,709,,,2021-05-10
Kunduz,"1,041",57,895,,,2021-05-10
Laghman,"1,098",22,957,,,2021-05-10
Logar,803,39,671,,,2021-05-10
Nangarhar,"4,291",197,"3,148",,,2021-05-10
Nimroz,802,27,663,,,2021-05-10
Nooristan,177,2,142,,,2021-05-10
Paktika,363,16,298,,,2021-05-10
Paktya,"1,595",55,"1,464",,,2021-05-10
Panjsher,444,19,331,,,2021-05-10
Parwan,939,31,793,,,2021-05-10
Samangan,359,18,322,,,2021-05-10
Sar-e-Pul,236,6,229,,,2021-05-10
Takhar,"2,159",73,"1,999",,,2021-05-10
Urozgan,212,7,152,,,2021-05-10
Wardak,697,31,530,,,2021-05-10
Zabul,387,22,318,,,2021-05-10
Badakhshan,678,24,630,,,2021-05-07
Badghis,853,16,810,,,2021-05-07
Baghlan,"1,150",37,"1,052",,,2021-05-07
Balkh,"3,508",181,"3,152",,,2021-05-07
Bamyan,"1,016",18,910,,,2021-05-07
Dykundi,941,20,917,,,2021-05-07
Farah,628,46,545,,,2021-05-07
Faryab,465,30,374,,,2021-05-07
Ghazni,977,79,800,,,2021-05-07
Ghor,700,17,572,,,2021-05-07
Helmand,541,37,386,,,2021-05-07
Hirat,"9,400",442,"8,885",,,2021-05-07
Jawzjan,248,12,210,,,2021-05-07
Kabul,"17,985",855,"16,201",,,2021-05-07
Kandahar,"3,231",68,"2,821",,,2021-05-07
Kapisa,699,24,592,,,2021-05-07
Khost,730,85,592,,,2021-05-07
Kunar,804,52,709,,,2021-05-07
Kunduz,"1,038",57,890,,,2021-05-07
Laghman,"1,082",22,907,,,2021-05-07
Logar,794,39,671,,,2021-05-07
Nangarhar,"4,243",194,"3,074",,,2021-05-07
Nimroz,792,27,663,,,2021-05-07
Nooristan,177,2,142,,,2021-05-07
Paktika,363,16,294,,,2021-05-07
Paktya,"1,595",55,"1,464",,,2021-05-07
Panjsher,439,19,331,,,2021-05-07
Parwan,917,31,793,,,2021-05-07
Samangan,359,18,322,,,2021-05-07
Sar-e-Pul,236,6,229,,,2021-05-07
Takhar,"2,157",73,"1,998",,,2021-05-07
Urozgan,207,7,152,,,2021-05-07
Wardak,684,31,530,,,2021-05-07
Zabul,386,22,316,,,2021-05-07
Badakhshan,676,24,630,,,2021-05-06
Badghis,848,16,810,,,2021-05-06
Baghlan,"1,149",37,"1,046",,,2021-05-06
Balkh,"3,501",181,"3,152",,,2021-05-06
Bamyan,"1,016",18,910,,,2021-05-06
Dykundi,941,20,917,,,2021-05-06
Farah,628,46,545,,,2021-05-06
Faryab,465,30,374,,,2021-05-06
Ghazni,977,79,800,,,2021-05-06
Ghor,684,17,572,,,2021-05-06
Helmand,541,37,386,,,2021-05-06
Hirat,"9,385",442,"8,885",,,2021-05-06
Jawzjan,248,12,210,,,2021-05-06
Kabul,"17,931",848,"16,201",,,2021-05-06
Kandahar,"3,172",68,"2,801",,,2021-05-06
Kapisa,699,24,592,,,2021-05-06
Khost,726,84,592,,,2021-05-06
Kunar,799,52,709,,,2021-05-06
Kunduz,"1,038",57,882,,,2021-05-06
Laghman,"1,047",22,901,,,2021-05-06
Logar,786,39,670,,,2021-05-06
Nangarhar,"4,198",192,"3,073",,,2021-05-06
Nimroz,792,27,663,,,2021-05-06
Nooristan,177,2,141,,,2021-05-06
Paktika,359,16,294,,,2021-05-06
Paktya,"1,588",55,"1,451",,,2021-05-06
Panjsher,439,19,331,,,2021-05-06
Parwan,915,31,793,,,2021-05-06
Samangan,357,18,322,,,2021-05-06
Sar-e-Pul,236,6,229,,,2021-05-06
Takhar,"2,154",73,"1,998",,,2021-05-06
Urozgan,206,7,152,,,2021-05-06
Wardak,681,31,530,,,2021-05-06
Zabul,386,22,316,,,2021-05-06
Badakhshan,674,24,625,,,2021-05-05
Badghis,848,16,810,,,2021-05-05
Baghlan,"1,143",37,"1,044",,,2021-05-05
Balkh,"3,495",181,"3,143",,,2021-05-05
Bamyan,"1,016",18,909,,,2021-05-05
Dykundi,941,20,917,,,2021-05-05
Farah,628,46,545,,,2021-05-05
Faryab,465,30,374,,,2021-05-05
Ghazni,973,79,788,,,2021-05-05
Ghor,672,17,571,,,2021-05-05
Helmand,541,37,381,,,2021-05-05
Hirat,"9,382",442,"8,885",,,2021-05-05
Jawzjan,248,12,210,,,2021-05-05
Kabul,"17,872",846,"16,201",,,2021-05-05
Kandahar,"3,142",67,"2,791",,,2021-05-05
Kapisa,693,24,592,,,2021-05-05
Khost,719,82,592,,,2021-05-05
Kunar,796,52,709,,,2021-05-05
Kunduz,"1,036",57,873,,,2021-05-05
Laghman,"1,043",22,872,,,2021-05-05
Logar,785,38,670,,,2021-05-05
Nangarhar,"4,102",192,"3,000",,,2021-05-05
Nimroz,792,27,663,,,2021-05-05
Nooristan,177,2,141,,,2021-05-05
Paktika,354,16,294,,,2021-05-05
Paktya,"1,582",54,"1,443",,,2021-05-05
Panjsher,439,19,331,,,2021-05-05
Parwan,913,31,772,,,2021-05-05
Samangan,357,18,322,,,2021-05-05
Sar-e-Pul,236,6,229,,,2021-05-05
Takhar,"2,153",72,"1,997",,,2021-05-05
Urozgan,206,7,147,,,2021-05-05
Wardak,678,31,530,,,2021-05-05
Zabul,382,21,315,,,2021-05-05
Badakhshan,667,24,625,,,2021-05-03
Badghis,843,16,810,,,2021-05-03
Baghlan,"1,142",37,"1,037",,,2021-05-03
Balkh,"3,464",181,"3,134",,,2021-05-03
Bamyan,"1,011",18,909,,,2021-05-03
Dykundi,941,20,917,,,2021-05-03
Farah,624,45,545,,,2021-05-03
Faryab,465,30,374,,,2021-05-03
Ghazni,953,79,788,,,2021-05-03
Ghor,671,17,571,,,2021-05-03
Helmand,524,37,365,,,2021-05-03
Hirat,"9,358",442,"8,885",,,2021-05-03
Jawzjan,248,12,210,,,2021-05-03
Kabul,"17,799",840,"16,201",,,2021-05-03
Kandahar,"3,088",66,"2,771",,,2021-05-03
Kapisa,669,24,592,,,2021-05-03
Khost,715,80,592,,,2021-05-03
Kunar,792,50,709,,,2021-05-03
Kunduz,"1,028",56,873,,,2021-05-03
Laghman,"1,034",21,869,,,2021-05-03
Logar,785,38,670,,,2021-05-03
Nangarhar,"3,924",192,"2,893",,,2021-05-03
Nimroz,758,27,663,,,2021-05-03
Nooristan,174,2,140,,,2021-05-03
Paktika,344,16,294,,,2021-05-03
Paktya,"1,551",52,"1,432",,,2021-05-03
Panjsher,437,19,329,,,2021-05-03
Parwan,911,31,772,,,2021-05-03
Samangan,357,18,317,,,2021-05-03
Sar-e-Pul,236,6,229,,,2021-05-03
Takhar,"2,148",72,"1,997",,,2021-05-03
Urozgan,204,7,147,,,2021-05-03
Wardak,668,31,522,,,2021-05-03
Zabul,378,21,315,,,2021-05-03
Badakhshan,662,24,623,,,2021-04-30
Badghis,843,16,810,,,2021-04-30
Baghlan,"1,140",37,"1,027",,,2021-04-30
Balkh,"3,445",181,"3,132",,,2021-04-30
Bamyan,995,18,907,,,2021-04-30
Dykundi,938,20,917,,,2021-04-30
Farah,616,45,545,,,2021-04-30
Faryab,464,30,374,,,2021-04-30
Ghazni,946,79,788,,,2021-04-30
Ghor,671,17,571,,,2021-04-30
Helmand,490,37,365,,,2021-04-30
Hirat,"9,347",439,"8,865",,,2021-04-30
Jawzjan,248,12,210,,,2021-04-30
Kabul,"17,693",832,"16,201",,,2021-04-30
Kandahar,"3,019",66,"2,701",,,2021-04-30
Kapisa,664,24,592,,,2021-04-30
Khost,703,80,592,,,2021-04-30
Kunar,776,49,696,,,2021-04-30
Kunduz,"1,027",56,873,,,2021-04-30
Laghman,997,19,869,,,2021-04-30
Logar,774,36,669,,,2021-04-30
Nangarhar,"3,784",192,"2,692",,,2021-04-30
Nimroz,740,26,645,,,2021-04-30
Nooristan,174,2,138,,,2021-04-30
Paktika,344,16,294,,,2021-04-30
Paktya,"1,550",52,"1,424",,,2021-04-30
Panjsher,432,19,329,,,2021-04-30
Parwan,910,31,772,,,2021-04-30
Samangan,357,18,316,,,2021-04-30
Sar-e-Pul,236,6,229,,,2021-04-30
Takhar,"2,138",72,"1,996",,,2021-04-30
Urozgan,201,7,147,,,2021-04-30
Wardak,644,31,522,,,2021-04-30
Zabul,376,21,314,,,2021-04-30
Badakhshan,662,24,623,,,2021-04-29
Badghis,843,16,810,,,2021-04-29
Baghlan,"1,136",37,"1,027",,,2021-04-29
Balkh,"3,445",181,"3,132",,,2021-04-29
Bamyan,995,18,907,,,2021-04-29
Dykundi,938,20,917,,,2021-04-29
Farah,616,45,545,,,2021-04-29
Faryab,464,30,374,,,2021-04-29
Ghazni,946,79,788,,,2021-04-29
Ghor,671,17,571,,,2021-04-29
Helmand,490,37,365,,,2021-04-29
Hirat,"9,347",439,"8,865",,,2021-04-29
Jawzjan,248,12,210,,,2021-04-29
Kabul,"17,646",830,"16,150",,,2021-04-29
Kandahar,"3,014",66,"2,664",,,2021-04-29
Kapisa,664,24,592,,,2021-04-29
Khost,696,80,592,,,2021-04-29
Kunar,776,49,696,,,2021-04-29
Kunduz,"1,025",55,870,,,2021-04-29
Laghman,972,19,869,,,2021-04-29
Logar,774,36,669,,,2021-04-29
Nangarhar,"3,725",191,"2,692",,,2021-04-29
Nimroz,740,26,645,,,2021-04-29
Nooristan,174,2,137,,,2021-04-29
Paktika,341,16,294,,,2021-04-29
Paktya,"1,544",52,"1,423",,,2021-04-29
Panjsher,431,19,326,,,2021-04-29
Parwan,907,31,772,,,2021-04-29
Samangan,355,18,316,,,2021-04-29
Sar-e-Pul,236,6,229,,,2021-04-29
Takhar,"2,135",72,"1,996",,,2021-04-29
Urozgan,200,7,147,,,2021-04-29
Wardak,630,29,522,,,2021-04-29
Zabul,376,21,312,,,2021-04-29
Badakhshan,661,24,616,,,2021-04-28
Badghis,843,16,810,,,2021-04-28
Baghlan,"1,136",37,"1,027",,,2021-04-28
Balkh,"3,431",181,"3,125",,,2021-04-28
Bamyan,995,18,907,,,2021-04-28
Dykundi,938,20,917,,,2021-04-28
Farah,616,45,545,,,2021-04-28
Faryab,464,30,374,,,2021-04-28
Ghazni,944,79,788,,,2021-04-28
Ghor,671,17,571,,,2021-04-28
Helmand,486,37,365,,,2021-04-28
Hirat,"9,347",439,"8,858",,,2021-04-28
Jawzjan,248,12,210,,,2021-04-28
Kabul,"17,638",825,"16,099",,,2021-04-28
Kandahar,"2,960",66,"2,604",,,2021-04-28
Kapisa,650,24,592,,,2021-04-28
Khost,681,78,589,,,2021-04-28
Kunar,773,49,696,,,2021-04-28
Kunduz,"1,022",55,870,,,2021-04-28
Laghman,950,19,817,,,2021-04-28
Logar,757,35,668,,,2021-04-28
Nangarhar,"3,631",187,"2,598",,,2021-04-28
Nimroz,721,26,645,,,2021-04-28
Nooristan,168,2,136,,,2021-04-28
Paktika,341,16,294,,,2021-04-28
Paktya,"1,538",51,"1,421",,,2021-04-28
Panjsher,429,19,326,,,2021-04-28
Parwan,898,31,772,,,2021-04-28
Samangan,355,18,316,,,2021-04-28
Sar-e-Pul,236,6,229,,,2021-04-28
Takhar,"2,127",72,"1,996",,,2021-04-28
Urozgan,189,6,142,,,2021-04-28
Wardak,605,29,513,,,2021-04-28
Zabul,374,21,311,,,2021-04-28
Badakhshan,656,24,565,,,2021-04-24
Badghis,843,16,810,,,2021-04-24
Baghlan,"1,124",37,"1,010",,,2021-04-24
Balkh,"3,428",181,"3,114",,,2021-04-24
Bamyan,991,18,907,,,2021-04-24
Dykundi,938,20,917,,,2021-04-24
Farah,616,45,545,,,2021-04-24
Faryab,464,30,374,,,2021-04-24
Ghazni,928,78,782,,,2021-04-24
Ghor,670,17,571,,,2021-04-24
Helmand,486,37,358,,,2021-04-24
Hirat,"9,347",439,"8,855",,,2021-04-24
Jawzjan,248,12,210,,,2021-04-24
Kabul,"17,591",814,"15,949",,,2021-04-24
Kandahar,"2,960",66,"2,591",,,2021-04-24
Kapisa,644,24,592,,,2021-04-24
Khost,675,77,589,,,2021-04-24
Kunar,770,48,669,,,2021-04-24
Kunduz,"1,020",55,870,,,2021-04-24
Laghman,928,17,815,,,2021-04-24
Logar,757,35,665,,,2021-04-24
Nangarhar,"3,513",185,"2,592",,,2021-04-24
Nimroz,721,26,645,,,2021-04-24
Nooristan,168,2,136,,,2021-04-24
Paktika,330,15,294,,,2021-04-24
Paktya,"1,529",51,"1,421",,,2021-04-24
Panjsher,423,19,325,,,2021-04-24
Parwan,887,31,772,,,2021-04-24
Samangan,351,18,316,,,2021-04-24
Sar-e-Pul,236,6,229,,,2021-04-24
Takhar,"2,119",72,"1,995",,,2021-04-24
Urozgan,189,6,142,,,2021-04-24
Wardak,577,29,513,,,2021-04-24
Zabul,372,21,311,,,2021-04-24
Badakhshan,648,24,565,,,2021-04-23
Badghis,843,16,810,,,2021-04-23
Baghlan,"1,110",37,"1,008",,,2021-04-23
Balkh,"3,424",181,"3,082",,,2021-04-23
Bamyan,991,18,907,,,2021-04-23
Dykundi,938,20,917,,,2021-04-23
Farah,616,45,545,,,2021-04-23
Faryab,464,30,374,,,2021-04-23
Ghazni,922,76,782,,,2021-04-23
Ghor,669,17,571,,,2021-04-23
Helmand,472,37,358,,,2021-04-23
Hirat,"9,347",439,"8,840",,,2021-04-23
Jawzjan,248,12,210,,,2021-04-23
Kabul,"17,544",803,"15,949",,,2021-04-23
Kandahar,"2,938",64,"2,580",,,2021-04-23
Kapisa,637,24,592,,,2021-04-23
Khost,675,77,589,,,2021-04-23
Kunar,767,48,669,,,2021-04-23
Kunduz,"1,018",55,870,,,2021-04-23
Laghman,920,16,780,,,2021-04-23
Logar,757,35,663,,,2021-04-23
Nangarhar,"3,419",182,"2,583",,,2021-04-23
Nimroz,721,26,645,,,2021-04-23
Nooristan,168,2,135,,,2021-04-23
Paktika,326,15,294,,,2021-04-23
Paktya,"1,529",50,"1,421",,,2021-04-23
Panjsher,419,19,325,,,2021-04-23
Parwan,880,31,772,,,2021-04-23
Samangan,351,18,314,,,2021-04-23
Sar-e-Pul,236,6,229,,,2021-04-23
Takhar,"2,114",72,"1,994",,,2021-04-23
Urozgan,182,6,142,,,2021-04-23
Wardak,567,29,504,,,2021-04-23
Zabul,371,21,311,,,2021-04-23
Badakhshan,648,24,565,,,2021-04-22
Badghis,843,16,810,,,2021-04-22
Baghlan,"1,110",37,"1,008",,,2021-04-22
Balkh,"3,421",180,"3,082",,,2021-04-22
Bamyan,991,18,907,,,2021-04-22
Dykundi,938,20,917,,,2021-04-22
Farah,616,45,545,,,2021-04-22
Faryab,463,30,374,,,2021-04-22
Ghazni,909,76,782,,,2021-04-22
Ghor,669,17,571,,,2021-04-22
Helmand,472,37,358,,,2021-04-22
Hirat,"9,347",439,"8,840",,,2021-04-22
Jawzjan,248,12,210,,,2021-04-22
Kabul,"17,529",799,"15,949",,,2021-04-22
Kandahar,"2,913",64,"2,577",,,2021-04-22
Kapisa,632,24,592,,,2021-04-22
Khost,674,77,589,,,2021-04-22
Kunar,764,46,669,,,2021-04-22
Kunduz,"1,016",55,870,,,2021-04-22
Laghman,897,16,780,,,2021-04-22
Logar,745,35,663,,,2021-04-22
Nangarhar,"3,364",182,"2,583",,,2021-04-22
Nimroz,721,26,645,,,2021-04-22
Nooristan,168,2,135,,,2021-04-22
Paktika,323,15,294,,,2021-04-22
Paktya,"1,516",50,"1,420",,,2021-04-22
Panjsher,419,19,325,,,2021-04-22
Parwan,879,31,772,,,2021-04-22
Samangan,351,18,314,,,2021-04-22
Sar-e-Pul,236,6,229,,,2021-04-22
Takhar,"2,114",72,"1,994",,,2021-04-22
Urozgan,182,6,142,,,2021-04-22
Wardak,563,29,500,,,2021-04-22
Zabul,369,21,308,,,2021-04-22
Badakhshan,648,24,565,,,2021-04-21
Badghis,843,16,810,,,2021-04-21
Baghlan,"1,110",37,"1,008",,,2021-04-21
Balkh,"3,419",180,"3,068",,,2021-04-21
Bamyan,990,18,907,,,2021-04-21
Dykundi,938,20,917,,,2021-04-21
Farah,613,45,545,,,2021-04-21
Faryab,463,30,374,,,2021-04-21
Ghazni,909,76,782,,,2021-04-21
Ghor,669,17,571,,,2021-04-21
Helmand,472,37,358,,,2021-04-21
Hirat,"9,338",439,"8,840",,,2021-04-21
Jawzjan,248,12,210,,,2021-04-21
Kabul,"17,520",797,"15,949",,,2021-04-21
